psb_reward,average_precision,precision@100,precision@200,precision@500,precision@1000,total_maintained,psb_hits,total_cost,total_benefit,net_benefit,efficiency_ratio
4.0,0.0076320763207632075,0.01,0.01,0.008,0.008,0,0,0.0,0.0,0.0,0.0
8.0,0.0076320763207632075,0.0,0.005,0.006,0.007,53,0,356.69,0.0,-356.69,0.0
12.0,0.00776884798701806,0.0,0.005,0.008,0.01,17963,157,120890.99,1884.0,-119006.99,0.0156
16.0,0.007658090946404104,0.0,0.01,0.012,0.01,46477,359,312790.21,5744.0,-307046.21,0.0184
20.0,0.007583164581303682,0.0,0.0,0.006,0.009,64110,481,431460.3,9620.0,-421840.3,0.0223
24.0,0.007555605205913285,0.01,0.005,0.008,0.01,76131,568,512361.63,13632.0,-498729.63,0.0266
