model,AP,P@100,lift@100,hits@100,P@500,lift@500,hits@500,P@1000,lift@1000,hits@1000
BI Q_35,0.0105,0.04,5.24,4,0.03,3.93,15,0.03,3.93,30
XGBoost,0.0087,0.05,6.55,5,0.018,2.36,9,0.013,1.7,13
LogisticReg,0.0114,0.01,1.31,1,0.026,3.41,13,0.024,3.14,24
