threshold,psb_ratio,test_psb_count,beauty_ap,beauty_top100,cite_ap,cite_top100,xgb_ap,xgb_top100,rf_ap,rf_top100,bi_policy_ap,bi_policy_top100,bi_q35_ap,bi_q35_top100
0.001,0.001,425,0.0012847299467373618,0,0.0027816693261989464,0,0.005236045589392645,2,0.009026416061630519,2,0.0025500255002550024,0,0.004919220033244572,4
0.0005,0.0005,330,0.0009999872080827404,0,0.0021406614629035986,0,0.0060666395412565,2,0.010396264853370939,2,0.001980019800198002,0,0.0055320110756913515,4
0.0001,0.0001,289,0.0008775657774957376,0,0.001978601110805671,0,0.007023086639347218,0,0.01247449290218891,2,0.0017340173401734018,0,0.006051166682113255,5
