weight,base_rate,psb_total,n_test,P@50,R@50,lift@50,P@100,R@100,lift@100,P@200,R@200,lift@200,P@500,R@500,lift@500,P@1000,R@1000,lift@1000,PR_AUC,maintain_n,maintain_psb,maintain_prec
50,0.01401,2335,166665,0.04,0.0009,2.9,0.05,0.0021,3.6,0.06,0.0051,4.3,0.042,0.009,3.0,0.029,0.0124,2.1,0.0164,0,0,0.0
100,0.01401,2335,166665,0.06,0.0013,4.3,0.05,0.0021,3.6,0.04,0.0034,2.9,0.022,0.0047,1.6,0.018,0.0077,1.3,0.0162,0,0,0.0
200,0.01401,2335,166665,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0021,1.8,0.024,0.0051,1.7,0.02,0.0086,1.4,0.0159,62,0,0.0
300,0.01401,2335,166665,0.0,0.0,0.0,0.01,0.0004,0.7,0.015,0.0013,1.1,0.028,0.006,2.0,0.024,0.0103,1.7,0.0154,776,20,0.0258
500,0.01401,2335,166665,0.04,0.0009,2.9,0.02,0.0009,1.4,0.01,0.0009,0.7,0.02,0.0043,1.4,0.017,0.0073,1.2,0.0153,13388,233,0.0174
664,0.01401,2335,166665,0.0,0.0,0.0,0.01,0.0004,0.7,0.015,0.0013,1.1,0.016,0.0034,1.1,0.021,0.009,1.5,0.0149,43860,656,0.015
1000,0.01401,2335,166665,0.02,0.0004,1.4,0.03,0.0013,2.1,0.015,0.0013,1.1,0.01,0.0021,0.7,0.019,0.0081,1.4,0.015,108060,1493,0.0138
2000,0.01401,2335,166665,0.04,0.0009,2.9,0.04,0.0017,2.9,0.03,0.0026,2.1,0.02,0.0043,1.4,0.022,0.0094,1.6,0.0157,139595,1927,0.0138
