model,metric,mean,ci_lo,ci_hi,sd
BI Q_35,AP,0.0177,0.0163,0.019,0.0007
BI Q_35,P@100,0.041,0.01,0.09,0.0202
BI Q_35,lift@100,2.9286,0.7138,6.4239,1.4411
BI Q_35,P@500,0.0402,0.024,0.058,0.0089
BI Q_35,lift@500,2.8694,1.713,4.1399,0.6356
BI Q_35,P@1000,0.0407,0.028,0.054,0.0064
BI Q_35,lift@1000,2.9078,1.9986,3.8544,0.4572
XGBoost,AP,0.0149,0.0139,0.0164,0.0006
XGBoost,P@100,0.0491,0.01,0.1,0.0221
XGBoost,lift@100,3.5046,0.7138,7.1377,1.5793
XGBoost,P@500,0.0217,0.01,0.036,0.0066
XGBoost,lift@500,1.5514,0.7138,2.5696,0.4728
XGBoost,P@1000,0.0191,0.011,0.028,0.0043
XGBoost,lift@1000,1.3637,0.7851,1.9986,0.3083
LogisticReg,AP,0.0198,0.0183,0.0213,0.0007
LogisticReg,P@100,0.0199,0.0,0.05,0.0143
LogisticReg,lift@100,1.4204,0.0,3.5688,1.0234
LogisticReg,P@500,0.042,0.024,0.062,0.0094
LogisticReg,lift@500,2.9961,1.713,4.4254,0.6727
LogisticReg,P@1000,0.0385,0.026,0.052,0.0064
LogisticReg,lift@1000,2.7508,1.8558,3.7116,0.4569
