comparison,metric,mean_delta,ci_lo,ci_hi,frac_positive,sig
BI_Q_35 - XGBoost,AP,0.0027,0.0014,0.0039,1.0,True
BI_Q_35 - XGBoost,P@100,-0.0081,-0.06,0.0402,0.296,False
BI_Q_35 - XGBoost,lift@100,-0.576,-4.2826,2.8729,0.296,False
BI_Q_35 - XGBoost,P@500,0.0185,0.0,0.038,0.963,False
BI_Q_35 - XGBoost,lift@500,1.3179,0.0,2.7123,0.963,False
BI_Q_35 - XGBoost,P@1000,0.0216,0.009,0.036,1.0,True
BI_Q_35 - XGBoost,lift@1000,1.5442,0.6424,2.5696,1.0,True
BI_Q_35 - LogisticReg,AP,-0.0021,-0.0035,-0.0007,0.003,True
BI_Q_35 - LogisticReg,P@100,0.0211,-0.03,0.07,0.758,False
BI_Q_35 - LogisticReg,lift@100,1.5082,-2.1413,4.9964,0.758,False
BI_Q_35 - LogisticReg,P@500,-0.0018,-0.026,0.022,0.414,False
BI_Q_35 - LogisticReg,lift@500,-0.1268,-1.8558,1.5703,0.414,False
BI_Q_35 - LogisticReg,P@1000,0.0022,-0.016,0.019,0.573,False
BI_Q_35 - LogisticReg,lift@1000,0.157,-1.142,1.3579,0.573,False
