ipc_subclass,bi_count,bi_psb_count,bi_average_precision,bi_precision@100,bi_precision@200,bi_precision@500,q35_count,q35_psb_count,q35_average_precision,q35_precision@100,q35_precision@200,q35_precision@500,rf_count,rf_psb_count,rf_average_precision,rf_precision@100,rf_precision@200,rf_precision@500,xgb_count,xgb_psb_count,xgb_average_precision,xgb_precision@100,xgb_precision@200,xgb_precision@500,lr_count,lr_psb_count,lr_average_precision,lr_precision@100,lr_precision@200,lr_precision@500,beauty_early_count,beauty_early_psb_count,beauty_early_average_precision,beauty_early_precision@100,beauty_early_precision@200,beauty_early_precision@500
A61K,4422,71,0.016056083220262325,0.03,0.03,0.012,4422,71,0.02268379255349874,0.03,0.025,0.024,4422,71,0.024922582312484988,0.01,0.025,0.036,4422,71,0.020179046271298684,0.03,0.02,0.022,4422,71,0.0203216797798804,0.01,0.005,0.024,4422,71,0.01684617249588269,0.03,0.02,0.016
G06F,3774,55,0.014573396926338102,0.02,0.015,0.02,3774,55,0.029334389735498352,0.04,0.02,0.014,3774,55,0.015306405838333965,0.0,0.01,0.014,3774,55,0.014375449693077247,0.01,0.01,0.008,3774,55,0.02371999207843961,0.02,0.03,0.028,3774,55,0.016377658282271935,0.03,0.025,0.016
G01N,3093,54,0.01745877788554801,0.03,0.02,0.012,3093,54,0.03132201587300709,0.06,0.055,0.034,3093,54,0.026468891906944528,0.04,0.04,0.03,3093,54,0.025119162321690557,0.01,0.025,0.034,3093,54,0.03283535350511347,0.04,0.04,0.028,3093,54,0.02237779441140796,0.03,0.015,0.022
C07C,2280,47,0.0206140350877193,0.01,0.015,0.008,2280,47,0.024473511638885007,0.03,0.03,0.026,2280,47,0.018846284134534243,0.01,0.015,0.014,2280,47,0.034202945470925665,0.06,0.035,0.022,2280,47,0.04278352858933596,0.07,0.045,0.024,2280,47,0.02184976565356978,0.04,0.03,0.024
B01D,2514,42,0.016706443914081145,0.0,0.0,0.006,2514,42,0.02279003976040138,0.02,0.01,0.024,2514,42,0.023289530312872432,0.02,0.035,0.026,2514,42,0.01883730589017442,0.02,0.025,0.022,2514,42,0.025872969735260806,0.02,0.04,0.028,2514,42,0.0200139361536257,0.01,0.025,0.018
H01L,2944,42,0.014266304347826086,0.0,0.005,0.01,2944,42,0.06713097849772211,0.05,0.035,0.028,2944,42,0.023318293342402027,0.04,0.03,0.018,2944,42,0.03103362325083072,0.03,0.02,0.014,2944,42,0.03317292249607988,0.04,0.04,0.03,2944,42,0.013532191001327618,0.01,0.005,0.01
B65D,3374,39,0.011558980438648489,0.01,0.005,0.004,3374,39,0.011866323820284227,0.0,0.005,0.008,3374,39,0.016662891947709813,0.03,0.025,0.018,3374,39,0.01355600058230718,0.0,0.0,0.01,3374,39,0.012841407138686901,0.02,0.015,0.01,3374,39,0.01150904010157946,0.02,0.015,0.008
A61B,2092,30,0.014340344168260038,0.01,0.015,0.012,2092,30,0.02480692554695026,0.02,0.03,0.024,2092,30,0.022866420888954273,0.03,0.03,0.02,2092,30,0.018361658103351847,0.01,0.03,0.018,2092,30,0.027382971995899848,0.03,0.035,0.018,2092,30,0.017311308555976526,0.03,0.015,0.01
B32B,2622,29,0.011060259344012205,0.01,0.005,0.012,2622,29,0.013822109462584638,0.0,0.01,0.016,2622,29,0.013300974558108053,0.01,0.015,0.014,2622,29,0.012896243306269201,0.0,0.01,0.014,2622,29,0.014850711245340095,0.0,0.005,0.014,2622,29,0.013762752597353437,0.01,0.02,0.014
C07D,2121,27,0.01272984441301273,0.0,0.005,0.008,2121,27,0.021813764220801016,0.03,0.035,0.018,2121,27,0.019350954359339898,0.02,0.025,0.014,2121,27,0.027095956522898573,0.04,0.03,0.02,2121,27,0.015719831890930742,0.01,0.015,0.02,2121,27,0.012359828530933073,0.01,0.01,0.008
G11B,2623,26,0.009912314144109797,0.0,0.015,0.014,2623,26,0.01642491824015264,0.03,0.02,0.018,2623,26,0.020899252603999295,0.03,0.02,0.01,2623,26,0.019532102170757633,0.03,0.015,0.012,2623,26,0.021129494909524725,0.04,0.02,0.016,2623,26,0.010590735706598447,0.0,0.005,0.008
H01R,1849,25,0.01352082206598161,0.03,0.02,0.02,1849,25,0.013311191660573098,0.01,0.005,0.01,1849,25,0.01571980714617158,0.01,0.02,0.014,1849,25,0.013075065127880592,0.01,0.005,0.008,1849,25,0.014330223229184758,0.01,0.01,0.012,1849,25,0.013044715576559396,0.01,0.01,0.012
G02B,2436,25,0.010262725779967159,0.0,0.0,0.002,2436,25,0.011644285720977851,0.01,0.005,0.012,2436,25,0.010519046701532832,0.01,0.01,0.004,2436,25,0.010845918913269604,0.0,0.005,0.01,2436,25,0.011595113647870001,0.02,0.015,0.008,2436,25,0.013764055413054671,0.01,0.01,0.012
A61F,1452,23,0.01584022038567493,0.03,0.015,0.018,1452,23,0.029152106669903245,0.03,0.025,0.02,1452,23,0.024508080241957365,0.03,0.025,0.024,1452,23,0.02083422222123384,0.02,0.02,0.018,1452,23,0.0232806049063675,0.02,0.035,0.022,1452,23,0.022740858754287954,0.03,0.025,0.024
A61M,1303,23,0.017651573292402148,0.02,0.025,0.022,1303,23,0.019614385936585425,0.02,0.015,0.02,1303,23,0.026554567103111604,0.02,0.02,0.018,1303,23,0.019181972145616212,0.01,0.02,0.022,1303,23,0.021265447748622816,0.02,0.025,0.022,1303,23,0.01759053290142794,0.01,0.015,0.016
B01J,977,22,0.022517911975435005,0.01,0.01,0.024,977,22,0.025010518175569547,0.01,0.025,0.024,977,22,0.026163365128720785,0.02,0.015,0.022,977,22,0.030206244940170667,0.03,0.035,0.03,977,22,0.04381776659545268,0.03,0.02,0.032,977,22,0.02145009806254751,0.02,0.02,0.022
H01J,1572,22,0.013994910941475827,0.01,0.02,0.016,1572,22,0.01788762886141055,0.02,0.025,0.018,1572,22,0.015782571249479817,0.02,0.02,0.014,1572,22,0.018492145775874477,0.02,0.02,0.016,1572,22,0.022759059476494144,0.03,0.025,0.022,1572,22,0.017934159017478028,0.02,0.03,0.016
C08G,1503,22,0.014637391882900865,0.0,0.005,0.008,1503,22,0.03041578165774278,0.03,0.03,0.02,1503,22,0.019217231460474615,0.01,0.025,0.02,1503,22,0.01768203969199062,0.02,0.015,0.016,1503,22,0.06831073927854235,0.06,0.035,0.028,1503,22,0.015140319197253784,0.01,0.015,0.014
F16K,1136,20,0.017605633802816902,0.01,0.01,0.01,1136,20,0.030498099361516456,0.04,0.035,0.024,1136,20,0.018922423829067038,0.02,0.015,0.02,1136,20,0.021940813364078403,0.02,0.02,0.02,1136,20,0.046888704618383806,0.05,0.04,0.024,1136,20,0.09710528091403894,0.09,0.055,0.032
G01R,1517,20,0.013183915622940013,0.01,0.015,0.016,1517,20,0.06450519483329954,0.03,0.015,0.016,1517,20,0.030370364155467105,0.02,0.025,0.014,1517,20,0.024019788663477048,0.03,0.02,0.016,1517,20,0.016922680991153006,0.02,0.02,0.014,1517,20,0.02343559428796532,0.03,0.03,0.018
G03B,1310,19,0.01450381679389313,0.02,0.015,0.01,1310,19,0.014986287246905447,0.0,0.01,0.016,1310,19,0.011323653170753529,0.0,0.0,0.008,1310,19,0.010775069348405752,0.0,0.0,0.008,1310,19,0.012291868304522426,0.0,0.0,0.008,1310,19,0.017552886675456743,0.02,0.01,0.008
H04N,2492,19,0.007624398073836276,0.0,0.005,0.004,2492,19,0.00876390201879433,0.0,0.0,0.006,2492,19,0.00887939165280277,0.01,0.005,0.002,2492,19,0.006367713557206816,0.0,0.0,0.002,2492,19,0.01731828914848224,0.0,0.03,0.02,2492,19,0.009294938637427922,0.01,0.01,0.006
B65H,1380,18,0.013043478260869565,0.0,0.0,0.004,1380,18,0.016876245273166557,0.0,0.025,0.018,1380,18,0.02640707646629132,0.04,0.02,0.016,1380,18,0.025500909564927482,0.03,0.02,0.012,1380,18,0.04580015286908008,0.04,0.025,0.024,1380,18,0.017039382224670607,0.02,0.01,0.014
