ipc_subclass,bi_count,bi_psb_count,bi_average_precision,bi_precision@100,bi_precision@200,bi_precision@500,q35_count,q35_psb_count,q35_average_precision,q35_precision@100,q35_precision@200,q35_precision@500,rf_count,rf_psb_count,rf_average_precision,rf_precision@100,rf_precision@200,rf_precision@500,xgb_count,xgb_psb_count,xgb_average_precision,xgb_precision@100,xgb_precision@200,xgb_precision@500,lr_count,lr_psb_count,lr_average_precision,lr_precision@100,lr_precision@200,lr_precision@500,beauty_early_count,beauty_early_psb_count,beauty_early_average_precision,beauty_early_precision@100,beauty_early_precision@200,beauty_early_precision@500
B23K,1003,18,0.01794616151545364,0.04,0.025,0.016,1003,18,0.026016110910521542,0.03,0.035,0.022,1003,18,0.02760359167398537,0.01,0.03,0.016,1003,18,0.021914240729609576,0.01,0.015,0.016,1003,18,0.035212994948633905,0.03,0.04,0.028,1003,18,0.05739927719264549,0.04,0.025,0.026
A63B,1266,17,0.013428120063191154,0.0,0.005,0.012,1266,17,0.01945934472086103,0.01,0.01,0.02,1266,17,0.01920193163478879,0.02,0.01,0.014,1266,17,0.017099794352569406,0.01,0.015,0.02,1266,17,0.03232321066680392,0.05,0.025,0.018,1266,17,0.01436557531950318,0.01,0.005,0.016
A01N,860,17,0.019767441860465116,0.01,0.01,0.014,860,17,0.04134105558033847,0.04,0.045,0.024,860,17,0.05361026613362335,0.05,0.035,0.026,860,17,0.053384769242236195,0.05,0.03,0.028,860,17,0.03666310696645843,0.05,0.03,0.022,860,17,0.08050049981892769,0.02,0.02,0.028
G03G,1407,16,0.011371712864250177,0.03,0.025,0.016,1407,16,0.010810709955648942,0.01,0.01,0.006,1407,16,0.011695960595737121,0.0,0.01,0.01,1407,16,0.011226399999866823,0.0,0.005,0.01,1407,16,0.014199560873363552,0.02,0.02,0.01,1407,16,0.011653977471565543,0.01,0.015,0.008
B29C,1618,16,0.009888751545117428,0.02,0.02,0.012,1618,16,0.04500769596982883,0.02,0.015,0.012,1618,16,0.011019048258258682,0.0,0.01,0.006,1618,16,0.01345319139301758,0.02,0.01,0.012,1618,16,0.02073271606952261,0.02,0.02,0.018,1618,16,0.01438098895699271,0.02,0.015,0.016
C08L,1156,16,0.01384083044982699,0.01,0.015,0.01,1156,16,0.029717959060920507,0.01,0.02,0.018,1156,16,0.016548719960198396,0.02,0.01,0.014,1156,16,0.014411446316506028,0.0,0.01,0.012,1156,16,0.04652382133248065,0.02,0.03,0.014,1156,16,0.01275372661768505,0.01,0.005,0.006
F16H,1040,16,0.015384615384615385,0.01,0.02,0.016,1040,16,0.015489390559755695,0.0,0.005,0.018,1040,16,0.015950794307035627,0.01,0.01,0.014,1040,16,0.022044678712195134,0.01,0.02,0.02,1040,16,0.012581784345048246,0.0,0.005,0.01,1040,16,0.016578534937208685,0.01,0.02,0.014
H05B,1023,15,0.01466275659824047,0.04,0.02,0.016,1023,15,0.021597436789779392,0.02,0.03,0.016,1023,15,0.03494422016323011,0.02,0.025,0.02,1023,15,0.026626738111071937,0.03,0.02,0.018,1023,15,0.04198772368590744,0.05,0.03,0.024,1023,15,0.06972824271810092,0.04,0.035,0.018
G03C,1241,15,0.012087026591458501,0.0,0.015,0.012,1241,15,0.016644923923588493,0.01,0.02,0.016,1241,15,0.019100798327981616,0.02,0.02,0.012,1241,15,0.019325872363333222,0.03,0.02,0.016,1241,15,0.02224225650481692,0.03,0.02,0.018,1241,15,0.018378282658137117,0.01,0.03,0.016
A01K,1027,14,0.013631937682570594,0.05,0.03,0.018,1027,14,0.01286441626759872,0.01,0.01,0.01,1027,14,0.019751099820961068,0.02,0.02,0.012,1027,14,0.010322784561263145,0.0,0.01,0.006,1027,14,0.026082205322206602,0.01,0.03,0.016,1027,14,0.012851618236864563,0.01,0.005,0.012
C08F,1218,14,0.011494252873563218,0.0,0.0,0.01,1218,14,0.0180826969103376,0.01,0.02,0.012,1218,14,0.013791096532965806,0.0,0.005,0.014,1218,14,0.019201486330495586,0.02,0.015,0.018,1218,14,0.01879308474585458,0.0,0.015,0.02,1218,14,0.02338984259358291,0.03,0.015,0.012
G11C,933,13,0.013933547695605574,0.04,0.025,0.02,933,13,0.03834276711045091,0.04,0.025,0.012,933,13,0.027608152885061993,0.03,0.02,0.014,933,13,0.06233636202044724,0.03,0.02,0.012,933,13,0.026526631630322286,0.03,0.03,0.018,933,13,0.012828653102858602,0.01,0.005,0.012
H03K,1152,13,0.011284722222222222,0.01,0.005,0.004,1152,13,0.012966764378598906,0.01,0.005,0.012,1152,13,0.011960702569029466,0.0,0.01,0.014,1152,13,0.012696068738783959,0.0,0.005,0.014,1152,13,0.022732889980911046,0.04,0.02,0.014,1152,13,0.02676775909716824,0.05,0.025,0.016
B05D,1158,13,0.011226252158894647,0.01,0.005,0.008,1158,13,0.01279529598513168,0.01,0.01,0.01,1158,13,0.018183569624256424,0.02,0.015,0.016,1158,13,0.013380429924070746,0.01,0.015,0.012,1158,13,0.01825369597303801,0.03,0.02,0.012,1158,13,0.01015377054661858,0.0,0.005,0.006
B65B,957,12,0.05316091954022988,0.03,0.02,0.014,957,12,0.06220469298373134,0.04,0.04,0.02,957,12,0.02975508293149379,0.02,0.025,0.016,957,12,0.04415674126009497,0.04,0.025,0.02,957,12,0.02579007576179466,0.02,0.01,0.012,957,12,0.012292361354519499,0.01,0.01,0.01
G06K,828,12,0.014492753623188406,0.0,0.0,0.012,828,12,0.014107622263395021,0.01,0.005,0.014,828,12,0.016584940156578028,0.02,0.015,0.012,828,12,0.013889596489473759,0.0,0.015,0.012,828,12,0.015527401880378527,0.01,0.01,0.014,828,12,0.02457342032387163,0.02,0.02,0.02
G08B,741,12,0.016194331983805668,0.02,0.02,0.016,741,12,0.029938497218103665,0.05,0.03,0.02,741,12,0.03217772312823021,0.02,0.02,0.018,741,12,0.021484895867599788,0.01,0.015,0.016,741,12,0.025113227515714265,0.02,0.03,0.02,741,12,0.014739685882397054,0.0,0.015,0.014
E04B,560,12,0.02142857142857143,0.02,0.02,0.022,560,12,0.01708939970413777,0.0,0.01,0.02,560,12,0.022440117502153474,0.01,0.02,0.02,560,12,0.019905469155389304,0.02,0.01,0.022,560,12,0.01884395744427642,0.01,0.015,0.018,560,12,0.0214818249955674,0.01,0.025,0.02
C02F,528,12,0.022727272727272728,0.01,0.015,0.024,528,12,0.02802184846412701,0.03,0.025,0.024,528,12,0.03473879349307292,0.03,0.04,0.024,528,12,0.0380234892998417,0.05,0.035,0.024,528,12,0.02496325777822163,0.03,0.02,0.022,528,12,0.02829498765038275,0.02,0.03,0.024
H04B,838,12,0.014319809069212411,0.02,0.025,0.016,838,12,0.026318138837200095,0.02,0.02,0.016,838,12,0.04808772988622702,0.04,0.025,0.018,838,12,0.0244626318752722,0.03,0.02,0.016,838,12,0.031242895871722944,0.02,0.035,0.02,838,12,0.030678119838499773,0.04,0.02,0.018
G01B,983,11,0.011190233977619531,0.01,0.005,0.01,983,11,0.039917468534588066,0.03,0.025,0.02,983,11,0.016899095096384643,0.02,0.02,0.014,983,11,0.010978316639101655,0.01,0.005,0.01,983,11,0.02691895971918997,0.02,0.03,0.018,983,11,0.011734411935099658,0.0,0.005,0.012
F16D,984,11,0.011178861788617886,0.01,0.01,0.014,984,11,0.01360396374734448,0.01,0.005,0.014,984,11,0.016382927599613892,0.02,0.015,0.016,984,11,0.014530764950116565,0.0,0.005,0.016,984,11,0.013646512742835886,0.01,0.01,0.01,984,11,0.01034631947161498,0.0,0.005,0.008
G21C,495,11,0.022222222222222223,0.01,0.025,0.022222222222222223,495,11,0.031835317513809205,0.04,0.025,0.022222222222222223,495,11,0.028488802968919646,0.02,0.025,0.022222222222222223,495,11,0.031913917117896456,0.03,0.015,0.022222222222222223,495,11,0.03705985226477296,0.04,0.025,0.022222222222222223,495,11,0.019676270905779104,0.01,0.01,0.022222222222222223
D05B,281,11,0.03914590747330961,0.01,0.03,0.03914590747330961,281,11,0.06494213904210244,0.07,0.045,0.03914590747330961,281,11,0.06124630525266006,0.08,0.045,0.03914590747330961,281,11,0.03341866888630422,0.01,0.035,0.03914590747330961,281,11,0.16909910427728808,0.06,0.04,0.03914590747330961,281,11,0.06079110898400364,0.03,0.035,0.03914590747330961
H01H,1101,10,0.009082652134423252,0.0,0.0,0.008,1101,10,0.01101835241907407,0.0,0.01,0.012,1101,10,0.015619622948643688,0.01,0.01,0.008,1101,10,0.026983456495243238,0.02,0.01,0.008,1101,10,0.010782157647519951,0.01,0.005,0.008,1101,10,0.008452949473235464,0.0,0.0,0.008
H01S,857,10,0.011668611435239206,0.02,0.02,0.008,857,10,0.013201281480334743,0.02,0.01,0.008,857,10,0.008821475629916201,0.0,0.005,0.006,857,10,0.008752564528034738,0.0,0.005,0.006,857,10,0.02044273600723722,0.02,0.015,0.014,857,10,0.00980390078329389,0.0,0.0,0.004
G01D,1039,10,0.009624639076034648,0.02,0.02,0.01,1039,10,0.009067051308462432,0.0,0.0,0.01,1039,10,0.011915484875835838,0.01,0.015,0.008,1039,10,0.008991124166576707,0.0,0.005,0.01,1039,10,0.012710980000270591,0.02,0.01,0.01,1039,10,0.008084612631076623,0.0,0.0,0.01
B02C,405,10,0.024691358024691357,0.01,0.015,0.024691358024691357,405,10,0.02947756379929033,0.03,0.03,0.024691358024691357,405,10,0.017500296424981576,0.0,0.0,0.024691358024691357,405,10,0.01852008962952876,0.0,0.0,0.024691358024691357,405,10,0.04215626601453867,0.02,0.02,0.024691358024691357,405,10,0.020929925887325573,0.02,0.015,0.024691358024691357
B65G,1253,9,0.007182761372705506,0.0,0.0,0.002,1253,9,0.00815994110497128,0.0,0.0,0.008,1253,9,0.01134418554977951,0.0,0.01,0.014,1253,9,0.00603730204835611,0.0,0.0,0.0,1253,9,0.009796046149110582,0.0,0.005,0.01,1253,9,0.007625166220135277,0.0,0.005,0.01
C22C,489,9,0.018404907975460124,0.03,0.025,0.018404907975460124,489,9,0.07124852725031935,0.05,0.03,0.018404907975460124,489,9,0.03960175159386358,0.03,0.02,0.018404907975460124,489,9,0.04360171078224483,0.02,0.015,0.018404907975460124,489,9,0.06014349626861985,0.03,0.025,0.018404907975460124,489,9,0.028360346825653374,0.02,0.03,0.018404907975460124
C12P,351,9,0.02564102564102564,0.02,0.025,0.02564102564102564,351,9,0.04447220406588415,0.03,0.02,0.02564102564102564,351,9,0.031716097649966773,0.02,0.01,0.02564102564102564,351,9,0.02181739487448908,0.02,0.015,0.02564102564102564,351,9,0.1083097257453473,0.03,0.025,0.02564102564102564,351,9,0.023095238095238096,0.01,0.025,0.02564102564102564
F04B,735,9,0.012244897959183673,0.0,0.0,0.01,735,9,0.015193189771618664,0.01,0.005,0.016,735,9,0.01578772451446362,0.01,0.01,0.012,735,9,0.01788792320590988,0.01,0.015,0.014,735,9,0.13598292614184043,0.02,0.025,0.016,735,9,0.011074047396901555,0.0,0.005,0.008
F16C,576,9,0.015625,0.02,0.02,0.014,576,9,0.019359677825494366,0.01,0.025,0.016,576,9,0.06016500505799685,0.03,0.025,0.014,576,9,0.026741045024163704,0.03,0.025,0.016,576,9,0.014314029368792999,0.01,0.01,0.016,576,9,0.016435296278521364,0.01,0.01,0.016
A47B,565,9,0.01592920353982301,0.04,0.02,0.018,565,9,0.016704796066545055,0.0,0.015,0.018,565,9,0.017119184641130707,0.02,0.015,0.014,565,9,0.013671711188421453,0.01,0.01,0.014,565,9,0.01612932890346381,0.01,0.01,0.018,565,9,0.020270951385502466,0.03,0.02,0.014
A47C,786,9,0.011450381679389313,0.01,0.005,0.01,786,9,0.013971767100733678,0.01,0.005,0.01,786,9,0.01777986106743932,0.02,0.01,0.008,786,9,0.012093123779118118,0.01,0.01,0.01,786,9,0.13544170971489572,0.02,0.015,0.014,786,9,0.12469321480336028,0.01,0.02,0.014
H01F,505,9,0.01782178217821782,0.01,0.01,0.018,505,9,0.13502150351581513,0.05,0.035,0.018,505,9,0.03475554768714305,0.03,0.025,0.018,505,9,0.03188846011238662,0.03,0.02,0.018,505,9,0.049020639058965094,0.05,0.035,0.018,505,9,0.020640863942345378,0.02,0.015,0.018
H05K,755,9,0.011920529801324504,0.01,0.015,0.016,755,9,0.014234204102974877,0.01,0.015,0.012,755,9,0.014286249698502198,0.02,0.01,0.012,755,9,0.025012997733832462,0.02,0.015,0.014,755,9,0.011407503515989351,0.01,0.01,0.01,755,9,0.01790375325157934,0.01,0.025,0.014
A63H,397,9,0.022670025188916875,0.02,0.025,0.022670025188916875,397,9,0.02284927096286018,0.02,0.015,0.022670025188916875,397,9,0.020668809013486285,0.01,0.02,0.022670025188916875,397,9,0.027390073278312773,0.02,0.025,0.022670025188916875,397,9,0.020359510291931615,0.01,0.015,0.022670025188916875,397,9,0.04184957473085052,0.04,0.025,0.022670025188916875
B60R,650,9,0.013846153846153847,0.02,0.01,0.014,650,9,0.01808565196603959,0.0,0.015,0.016,650,9,0.02653617314514672,0.02,0.025,0.018,650,9,0.02853449123567666,0.03,0.02,0.018,650,9,0.05230307292807054,0.02,0.015,0.016,650,9,0.016214541669624154,0.01,0.015,0.014
H01Q,545,9,0.01651376146788991,0.0,0.01,0.016,545,9,0.01617400784236601,0.02,0.01,0.014,545,9,0.13082844380876146,0.02,0.02,0.018,545,9,0.019767060446668393,0.01,0.01,0.016,545,9,0.03155067325845892,0.03,0.025,0.018,545,9,0.015765016630048295,0.02,0.01,0.016
A47L,322,9,0.027950310559006212,0.04,0.03,0.027950310559006212,322,9,0.040257804333954095,0.03,0.03,0.027950310559006212,322,9,0.025224187223697875,0.01,0.025,0.027950310559006212,322,9,0.02246324544339671,0.01,0.015,0.027950310559006212,322,9,0.03966417883701606,0.03,0.025,0.027950310559006212,322,9,0.02655610530816688,0.01,0.01,0.027950310559006212
A62B,182,8,0.04395604395604396,0.04,0.04395604395604396,0.04395604395604396,182,8,0.07217063531716073,0.03,0.04395604395604396,0.04395604395604396,182,8,0.09411185231455836,0.03,0.04395604395604396,0.04395604395604396,182,8,0.03999828098134858,0.04,0.04395604395604396,0.04395604395604396,182,8,0.05880006914116375,0.05,0.04395604395604396,0.04395604395604396,182,8,0.047981499451451026,0.05,0.04395604395604396,0.04395604395604396
G01J,524,8,0.015267175572519083,0.02,0.015,0.016,524,8,0.011067774008055128,0.0,0.005,0.012,524,8,0.03632564784325201,0.02,0.01,0.016,524,8,0.026830553072280043,0.01,0.01,0.016,524,8,0.03226468674213827,0.01,0.02,0.016,524,8,0.01362291883165168,0.0,0.01,0.016
C01B,587,8,0.013628620102214651,0.01,0.015,0.014,587,8,0.047845790364741056,0.02,0.015,0.012,587,8,0.04762184186023032,0.02,0.02,0.014,587,8,0.02122348735609776,0.02,0.01,0.014,587,8,0.030012868648738,0.03,0.015,0.014,587,8,0.013745704467353952,0.0,0.0,0.012
F16L,983,8,0.008138351983723296,0.0,0.01,0.008,983,8,0.04985823473927422,0.04,0.025,0.014,983,8,0.016151325867690736,0.01,0.02,0.012,983,8,0.02449210358920724,0.02,0.015,0.01,983,8,0.012541589850440953,0.01,0.01,0.014,983,8,0.012445395926747219,0.01,0.005,0.01
B60K,744,8,0.010752688172043012,0.0,0.005,0.012,744,8,0.01614120868652765,0.01,0.01,0.006,744,8,0.01111201538842937,0.01,0.01,0.008,744,8,0.011751844003742646,0.0,0.01,0.012,744,8,0.012391119802495859,0.01,0.015,0.008,744,8,0.023158671325386286,0.01,0.01,0.008
C12N,471,8,0.016985138004246284,0.0,0.015,0.016985138004246284,471,8,0.022339470490808352,0.02,0.02,0.016985138004246284,471,8,0.030650734357514108,0.03,0.025,0.016985138004246284,471,8,0.034644750864631896,0.03,0.025,0.016985138004246284,471,8,0.022829234700363715,0.02,0.015,0.016985138004246284,471,8,0.018631089060193538,0.01,0.01,0.016985138004246284
F01D,278,8,0.02877697841726619,0.01,0.025,0.02877697841726619,278,8,0.03788634670377365,0.03,0.025,0.02877697841726619,278,8,0.04625305468568479,0.03,0.035,0.02877697841726619,278,8,0.05737622747053283,0.04,0.03,0.02877697841726619,278,8,0.0937910251195694,0.02,0.035,0.02877697841726619,278,8,0.049754077901641075,0.04,0.025,0.02877697841726619
H04M,818,8,0.009779951100244499,0.0,0.005,0.006,818,8,0.02313560131613822,0.02,0.01,0.012,818,8,0.009448881341186535,0.0,0.005,0.008,818,8,0.009058162281582039,0.0,0.0,0.008,818,8,0.05219356617109253,0.02,0.025,0.014,818,8,0.029660232106682883,0.01,0.01,0.01
F16B,613,8,0.013050570962479609,0.0,0.005,0.012,613,8,0.023383243400239583,0.01,0.01,0.01,613,8,0.012183125897384137,0.01,0.01,0.008,613,8,0.010273965359222047,0.0,0.005,0.01,613,8,0.016246204478740783,0.01,0.005,0.012,613,8,0.012537305238342799,0.01,0.01,0.014
C08J,383,8,0.020887728459530026,0.01,0.015,0.020887728459530026,383,8,0.09799356860658918,0.04,0.03,0.020887728459530026,383,8,0.032191530519703894,0.02,0.035,0.020887728459530026,383,8,0.057530993464469354,0.03,0.03,0.020887728459530026,383,8,0.03375763973323472,0.03,0.025,0.020887728459530026,383,8,0.04436675331790556,0.02,0.01,0.020887728459530026
H02K,780,8,0.010256410256410256,0.0,0.0,0.004,780,8,0.01666428286638756,0.02,0.01,0.012,780,8,0.01609156977437474,0.02,0.015,0.012,780,8,0.017715060226293804,0.03,0.015,0.014,780,8,0.017477907370880646,0.02,0.015,0.012,780,8,0.011439074737532626,0.01,0.01,0.012
C10L,230,8,0.034782608695652174,0.01,0.03,0.034782608695652174,230,8,0.08113261639845737,0.04,0.035,0.034782608695652174,230,8,0.09559591110546406,0.05,0.04,0.034782608695652174,230,8,0.08993921530376824,0.05,0.035,0.034782608695652174,230,8,0.05319737397655838,0.04,0.04,0.034782608695652174,230,8,0.03524229074889868,0.0,0.03,0.034782608695652174
C08K,866,8,0.009237875288683603,0.0,0.0,0.004,866,8,0.007760845362389942,0.0,0.0,0.006,866,8,0.009379638754495623,0.0,0.01,0.01,866,8,0.011139732652647255,0.01,0.005,0.008,866,8,0.010341479276792683,0.0,0.01,0.012,866,8,0.009932243854870708,0.01,0.005,0.002
G01V,548,8,0.014598540145985401,0.02,0.02,0.014,548,8,0.035186941271372264,0.03,0.025,0.016,548,8,0.013751557258740693,0.0,0.01,0.014,548,8,0.0167830771944377,0.01,0.01,0.014,548,8,0.029922206755608173,0.03,0.025,0.016,548,8,0.014658147455529357,0.01,0.01,0.012
H01M,561,8,0.0142602495543672,0.02,0.015,0.012,561,8,0.026633002636483955,0.03,0.025,0.014,561,8,0.011545750334166308,0.0,0.005,0.012,561,8,0.010622191674073874,0.0,0.005,0.012,561,8,0.024239156668834718,0.02,0.02,0.016,561,8,0.022090680424013756,0.01,0.015,0.012
H02P,415,7,0.016867469879518072,0.02,0.015,0.016867469879518072,415,7,0.019695003259333856,0.02,0.025,0.016867469879518072,415,7,0.04307753888565284,0.05,0.03,0.016867469879518072,415,7,0.047727860471001776,0.02,0.015,0.016867469879518072,415,7,0.021668246777074164,0.01,0.015,0.016867469879518072,415,7,0.013811641531826749,0.0,0.01,0.016867469879518072
B41J,630,7,0.011111111111111112,0.02,0.02,0.012,630,7,0.012425079527815196,0.01,0.005,0.008,630,7,0.007019631182483863,0.0,0.0,0.004,630,7,0.007028811462332194,0.0,0.0,0.002,630,7,0.06782601134370829,0.05,0.03,0.014,630,7,0.01956425887585308,0.02,0.01,0.008
C03B,439,7,0.015945330296127564,0.02,0.02,0.015945330296127564,439,7,0.025556356372051593,0.01,0.015,0.015945330296127564,439,7,0.020492978425013686,0.02,0.015,0.015945330296127564,439,7,0.015628430477092337,0.01,0.015,0.015945330296127564,439,7,0.06098707335983545,0.04,0.02,0.015945330296127564,439,7,0.018019283634726598,0.01,0.01,0.015945330296127564
