psb_reward,average_precision,precision@100,precision@200,precision@500,precision@1000,total_maintained,psb_hits,total_cost,total_benefit,net_benefit,efficiency_ratio
4.0,0.014010140101401013,0.03,0.025,0.022,0.017,0,0,0.0,0.0,0.0,0.0
8.0,0.01403834218579051,0.03,0.02,0.024,0.019,422,9,2840.06,72.0,-2768.06,0.0254
12.0,0.013807851089647074,0.01,0.02,0.018,0.021,96473,1317,649263.29,15804.0,-633459.29,0.0243
16.0,0.01375264871616673,0.03,0.03,0.022,0.016,116566,1589,784489.18,25424.0,-759065.18,0.0324
20.0,0.013658613649803295,0.04,0.03,0.024,0.017,125244,1694,842892.12,33880.0,-809012.12,0.0402
24.0,0.013692773735543775,0.05,0.025,0.024,0.018,130514,1774,878359.22,42576.0,-835783.22,0.0485
