bin,count,psb_rate,mean_pred_Q,mean_actual_r,calibration_err
"(-2.5229999999999997, -0.995]",160781,0.0024940757925376754,-0.996865840799459,-0.9800473936596986,-0.01681844713976033
"(-0.995, 3.071]",5884,0.004078857919782461,-0.7833372922949783,-0.9673691366417403,0.184031844346762
