model,AP,P@100,lift@100,hits@100,P@500,lift@500,hits@500,P@1000,lift@1000,hits@1000
BI Q_35,0.0064,0.06,23.53,6,0.03,11.76,15,0.022,8.63,22
XGBoost,0.0065,0.04,15.69,4,0.018,7.06,9,0.02,7.84,20
LogisticReg,0.0082,0.01,3.92,1,0.024,9.41,12,0.02,7.84,20
