weight,base_rate,psb_total,n_test,P@50,R@50,lift@50,P@100,R@100,lift@100,P@200,R@200,lift@200,P@500,R@500,lift@500,P@1000,R@1000,lift@1000,PR_AUC,maintain_n,maintain_psb,maintain_prec
50,0.00255,425,166665,0.06,0.0071,23.5,0.04,0.0094,15.7,0.035,0.0165,13.7,0.028,0.0329,11.0,0.025,0.0588,9.8,0.0061,2,0,0.0
100,0.00255,425,166665,0.04,0.0047,15.7,0.03,0.0071,11.8,0.04,0.0188,15.7,0.036,0.0424,14.1,0.024,0.0565,9.4,0.0063,11,0,0.0
200,0.00255,425,166665,0.04,0.0047,15.7,0.04,0.0094,15.7,0.03,0.0141,11.8,0.03,0.0353,11.8,0.022,0.0518,8.6,0.0052,37,1,0.027
300,0.00255,425,166665,0.02,0.0024,7.8,0.04,0.0094,15.7,0.025,0.0118,9.8,0.018,0.0212,7.1,0.017,0.04,6.7,0.0049,87,4,0.046
500,0.00255,425,166665,0.02,0.0024,7.8,0.03,0.0071,11.8,0.035,0.0165,13.7,0.026,0.0306,10.2,0.023,0.0541,9.0,0.0053,269,9,0.0335
664,0.00255,425,166665,0.0,0.0,0.0,0.01,0.0024,3.9,0.035,0.0165,13.7,0.028,0.0329,11.0,0.022,0.0518,8.6,0.0059,492,14,0.0285
1000,0.00255,425,166665,0.04,0.0047,15.7,0.03,0.0071,11.8,0.03,0.0141,11.8,0.028,0.0329,11.0,0.019,0.0447,7.5,0.0059,784,17,0.0217
2000,0.00255,425,166665,0.02,0.0024,7.8,0.05,0.0118,19.6,0.045,0.0212,17.6,0.028,0.0329,11.0,0.022,0.0518,8.6,0.0072,2444,47,0.0192
