ipc_subclass,bi_count,bi_psb_count,bi_average_precision,bi_precision@100,bi_precision@200,bi_precision@500,q35_count,q35_psb_count,q35_average_precision,q35_precision@100,q35_precision@200,q35_precision@500,rf_count,rf_psb_count,rf_average_precision,rf_precision@100,rf_precision@200,rf_precision@500,xgb_count,xgb_psb_count,xgb_average_precision,xgb_precision@100,xgb_precision@200,xgb_precision@500,beauty_count,beauty_psb_count,beauty_average_precision,beauty_precision@100,beauty_precision@200,beauty_precision@500
B05B,612,2,0.0032679738562091504,0.0,0.0,0.002,612,2,0.010301837270341207,0.01,0.005,0.002,612,2,0.019258987527512837,0.01,0.01,0.004,612,2,0.007944928634583806,0.01,0.005,0.004,612,2,1.0,0.02,0.01,0.004
G01B,983,2,0.002034587995930824,0.0,0.0,0.002,983,2,0.036252354048964215,0.01,0.01,0.004,983,2,0.005155659132881893,0.0,0.005,0.002,983,2,0.0029426904598490048,0.0,0.0,0.002,983,2,1.0,0.02,0.01,0.004
C07F,454,2,0.004405286343612335,0.0,0.0,0.004405286343612335,454,2,0.0367063492063492,0.02,0.01,0.004405286343612335,454,2,0.009135742582262107,0.01,0.005,0.004405286343612335,454,2,0.014088612514574427,0.01,0.01,0.004405286343612335,454,2,1.0,0.02,0.01,0.004405286343612335
F42B,377,2,0.005305039787798408,0.0,0.0,0.005305039787798408,377,2,0.005779608519334546,0.0,0.0,0.005305039787798408,377,2,0.11274509803921567,0.02,0.01,0.005305039787798408,377,2,0.013074770091963214,0.01,0.005,0.005305039787798408,377,2,1.0,0.02,0.01,0.005305039787798408
G03C,1241,2,0.0016116035455278,0.0,0.0,0.0,1241,2,0.005833333333333334,0.0,0.005,0.004,1241,2,0.0016944335126153308,0.0,0.0,0.0,1241,2,0.0015895764697486888,0.0,0.0,0.0,1241,2,1.0,0.02,0.01,0.004
H01F,505,2,0.0039603960396039604,0.01,0.005,0.004,505,2,0.006034024455077087,0.0,0.005,0.004,505,2,0.01735294117647059,0.02,0.01,0.004,505,2,0.02112369337979094,0.01,0.01,0.004,505,2,1.0,0.02,0.01,0.004
G03B,1310,2,0.0015267175572519084,0.0,0.0,0.0,1310,2,0.0013573581887535375,0.0,0.0,0.0,1310,2,0.0027008574824541544,0.0,0.0,0.002,1310,2,0.0017509214982318613,0.0,0.0,0.0,1310,2,1.0,0.02,0.01,0.004
G02B,2436,2,0.0008210180623973727,0.0,0.0,0.0,2436,2,0.0009293600728762133,0.0,0.0,0.0,2436,2,0.0008359767380385938,0.0,0.0,0.0,2436,2,0.0017597728595171052,0.0,0.0,0.002,2436,2,1.0,0.02,0.01,0.004
H04B,838,2,0.002386634844868735,0.01,0.005,0.004,838,2,0.003076581617956092,0.0,0.0,0.002,838,2,0.0025102849783046354,0.0,0.0,0.002,838,2,0.0023835460109969914,0.0,0.0,0.0,838,2,1.0,0.02,0.01,0.004
A61N,361,2,0.00554016620498615,0.01,0.01,0.00554016620498615,361,2,0.01551634665282823,0.01,0.005,0.00554016620498615,361,2,0.00800038172795521,0.0,0.005,0.00554016620498615,361,2,0.015883226125680355,0.01,0.005,0.00554016620498615,361,2,1.0,0.02,0.01,0.00554016620498615
H01Q,545,2,0.003669724770642202,0.0,0.0,0.004,545,2,0.002866800575608586,0.0,0.0,0.002,545,2,0.00936820675615058,0.01,0.005,0.004,545,2,0.0030453470879002794,0.0,0.0,0.002,545,2,1.0,0.02,0.01,0.004
G11C,933,2,0.0021436227224008574,0.02,0.01,0.004,933,2,0.00935631984752664,0.0,0.01,0.004,933,2,0.01280096563115431,0.01,0.005,0.004,933,2,0.005828370923935964,0.0,0.005,0.004,933,2,1.0,0.02,0.01,0.004
H01J,1572,2,0.001272264631043257,0.0,0.005,0.002,1572,2,0.00201322197132519,0.0,0.0,0.002,1572,2,0.0012776282521817144,0.0,0.0,0.0,1572,2,0.0013854907266150464,0.0,0.0,0.0,1572,2,1.0,0.02,0.01,0.004
B41F,344,2,0.005813953488372093,0.0,0.005,0.005813953488372093,344,2,0.008581472291149712,0.01,0.005,0.005813953488372093,344,2,0.01514161220043573,0.01,0.01,0.005813953488372093,344,2,0.01186954071569456,0.01,0.01,0.005813953488372093,344,2,1.0,0.02,0.01,0.005813953488372093
F25B,472,2,0.00423728813559322,0.0,0.0,0.00423728813559322,472,2,0.03325358851674641,0.02,0.01,0.00423728813559322,472,2,0.1419491525423729,0.02,0.01,0.00423728813559322,472,2,0.07179487179487179,0.02,0.01,0.00423728813559322,472,2,1.0,0.02,0.01,0.00423728813559322
C08L,1156,2,0.0017301038062283738,0.0,0.0,0.002,1156,2,0.0036527259876678606,0.0,0.0,0.004,1156,2,0.032473990208078334,0.01,0.005,0.002,1156,2,0.13293650793650794,0.01,0.01,0.004,1156,2,1.0,0.02,0.01,0.004
C11D,457,2,0.00437636761487965,0.0,0.0,0.00437636761487965,457,2,0.005066578404664308,0.0,0.0,0.00437636761487965,457,2,0.013690036900369004,0.01,0.005,0.00437636761487965,457,2,0.032022730763323605,0.01,0.005,0.00437636761487965,457,2,1.0,0.02,0.01,0.00437636761487965
F21V,370,2,0.005405405405405406,0.0,0.005,0.005405405405405406,370,2,0.018438697318007662,0.02,0.01,0.005405405405405406,370,2,0.013927669192926472,0.01,0.005,0.005405405405405406,370,2,0.012663268556865243,0.01,0.01,0.005405405405405406,370,2,1.0,0.02,0.01,0.005405405405405406
D05B,281,2,0.0071174377224199285,0.0,0.01,0.0071174377224199285,281,2,0.0148380355276907,0.01,0.01,0.0071174377224199285,281,2,0.059259259259259255,0.01,0.005,0.0071174377224199285,281,2,0.02996542451018056,0.01,0.005,0.0071174377224199285,281,2,1.0,0.02,0.01,0.0071174377224199285
C12P,351,2,0.005698005698005698,0.0,0.0,0.005698005698005698,351,2,0.014285714285714287,0.01,0.005,0.005698005698005698,351,2,0.02564272462231646,0.01,0.005,0.005698005698005698,351,2,0.012849002849002849,0.01,0.005,0.005698005698005698,351,2,1.0,0.02,0.01,0.005698005698005698
C08K,866,2,0.0023094688221709007,0.0,0.0,0.002,866,2,0.0037691133545778325,0.0,0.0,0.004,866,2,0.0020320455059533744,0.0,0.0,0.0,866,2,0.0034163817483432524,0.0,0.0,0.004,866,2,1.0,0.02,0.01,0.004
A01N,860,2,0.002325581395348837,0.0,0.0,0.0,860,2,0.004605688429217841,0.0,0.005,0.002,860,2,0.018286311389759665,0.01,0.005,0.004,860,2,0.038029100529100524,0.01,0.005,0.004,860,2,1.0,0.02,0.01,0.004
